qid,query,docno,text,score,rank
156493,do goldfish grow,8182159_0,"'Goldfish usually grow with their environment so if they are in a large space and are fed enough, they do sometimes just keep growing.",-0.010874533094465733,0
156493,do goldfish grow,1960255_1,"Best Answer: Goldfish do not grow to the size of their tank, that is a myth.",-0.015799928456544876,1
156493,do goldfish grow,1960255_2,"Goldfish grow until they are at their mature size, but being in a tank too small for them to grow properly can cause stunting.",-0.017682410776615143,2
156493,do goldfish grow,2411918_1,"If kept in a suitable environment, single tail goldfish normally grow to 10 inches (25cm) and can sometimes reach 12 inches (30cm).",-0.03297527879476547,3
156493,do goldfish grow,2317807_1,"If kept in a suitable environment, single tail goldfish normally grow to 10 inches (25cm) and can sometimes reach 12 inches (30cm).",-0.03297527879476547,4
156493,do goldfish grow,885944_2,"If kept in a suitable environment, single tail goldfish normally grow to 10 inches (25cm) and can sometimes reach 12 inches (30cm).",-0.03297527879476547,5
156493,do goldfish grow,7371077_1,"Most fancy goldfish varieties grow up to 6 or 7 inches long (15 or 18 centimeters), while common and comet goldfish can grow to a foot long (30 centimeters) and even more.",-0.03365107253193855,6
156493,do goldfish grow,3288600_0,A goldfish will grow to the depth of the water it is kept in.,-0.03917310759425163,7
156493,do goldfish grow,3288601_0,A goldfish will grow to the depth of the water it is kept in.,-0.03917310759425163,8
156493,do goldfish grow,2949802_0,"If kept in a suitable environment, single tail goldfish normally grow to 10 inches (25cm) and can sometimes reach 12 inches (30cm).",-0.04543653875589371,9
156493,do goldfish grow,2949801_1,"If kept in a suitable environment, single tail goldfish normally grow to 10 inches (25cm) and can sometimes reach 12 inches (30cm).",-0.0460224524140358,10
156493,do goldfish grow,8273019_1,Many goldfish can grow over a foot long- here is a list of standard sizes to expect a goldfish to grow:,-0.04953121393918991,11
156493,do goldfish grow,8245444_1,"When asking this question it is important to use common sense: a goldfish can grow over 12 inches long, bettas typically don't grow over 3 inches (even less for the females).t depends.",-0.053908560425043106,12
156493,do goldfish grow,8182165_0,"Goldfish may grow to a maximum length of 23 inches (59 cm) and a maximum weight of 9.9 pounds (4.5 kg), although this is rare; most individual goldfish grow to under half this size.",-0.057260241359472275,13
156493,do goldfish grow,2928707_0,Goldfish Only Grow to the Size of Their Enclosure.,-0.05769547447562218,14
156493,do goldfish grow,95514_0,"Fancy goldfish typically grow to 8 inches, while single tail goldfish grow to 10 and sometimes up to 12 inches in length.",-0.059925615787506104,15
156493,do goldfish grow,1960257_0,Goldfish Only Grow to the Size of Their Enclosure.,-0.060368891805410385,16
156493,do goldfish grow,3288600_1,"If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die.",-0.06882081180810928,17
156493,do goldfish grow,3288596_0,"If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die.",-0.06882081180810928,18
156493,do goldfish grow,3288601_1,"If the tank is not large enough to allow the goldfish to grow, it's growth will be stunted and this can cause the fish to become unhealthy and die.",-0.06882081180810928,19
156493,do goldfish grow,8182160_1,"If you keep your goldfish in a small tank and you limit his feeding, he will grow fairly slowly and may not grow to more than 3 or 4 inches before he succumbs to poor health and dies.",-0.07055451720952988,20
156493,do goldfish grow,5530082_3,"However, most goldfish grow to only half that size.",-0.07158277928829193,21
156493,do goldfish grow,8182161_0,"A: While goldfish can grow up to 18 inches in length and can weigh more than six pounds, most never attain such large size.",-0.07318684458732605,22
156493,do goldfish grow,8182160_0,The rate at which your goldfish grows will depend on several factors and the size of his tank does come into play here.,-0.0739917904138565,23
156493,do goldfish grow,6139386_2,Goldfish will not grow if water conditions are poor.,-0.07540805637836456,24
156493,do goldfish grow,1277726_0,Goldfish commonly grow to over 12 inches.,-0.07562781125307083,25
156493,do goldfish grow,6139386_1,I have seen goldfish grow ridiculously large in very small containers when their water was changed frequently.,-0.08079414069652557,26
156493,do goldfish grow,8029433_2,"Even when in the wild, goldfish grow to be no more than 1 foot long.fter all, both goldfish and koi come in a variety of colors.",-0.08213965594768524,27
156493,do goldfish grow,349643_0,Goldfish commonly grow to over 12 inches.,-0.08380494266748428,28
156493,do goldfish grow,349638_1,Many goldfish can grow over a foot long-here is a list of standard sizes to expect a goldfish to grow:,-0.08520148694515228,29
156493,do goldfish grow,885944_3,Fancy goldfish normally grow to 8 inches (20cm).,-0.09143327176570892,30
156493,do goldfish grow,2949802_1,Fancy goldfish normally grow to 8 inches (20cm).,-0.09182887524366379,31
156493,do goldfish grow,2411918_2,Fancy goldfish normally grow to 8 inches (20cm).,-0.09356074035167694,32
156493,do goldfish grow,2411918_4,Fancy goldfish normally grow to 8 inches (20cm).,-0.09356074035167694,33
156493,do goldfish grow,3288597_0,You will see your goldfish grow fast.,-0.09463199228048325,34
156493,do goldfish grow,1960261_1,"How big your goldfish will grow is determined by the animal's genetics, not by the size of his environment.",-0.09550850093364716,35
156493,do goldfish grow,2949801_2,Fancy goldfish normally grow to 8 inches (20cm).,-0.09609255939722061,36
156493,do goldfish grow,2317807_2,Fancy goldfish normally grow to 8 inches (20cm).,-0.0985785573720932,37
156493,do goldfish grow,2259183_1,"In a small 5-gallon aquarium, your goldfish will still grow.",-0.09994341433048248,38
156493,do goldfish grow,95515_0,"How big your goldfish will grow is determined by the animal's genetics, not by the size of his environment.",-0.10209797322750092,39
156493,do goldfish grow,1960257_2,"When properly cared for, goldfish will not stop growing.",-0.11353717744350433,40
156493,do goldfish grow,2928707_2,"When properly cared for, goldfish will not stop growing.",-0.11610878258943558,41
156493,do goldfish grow,7371078_1,Goldfish can grow very large and some have lived up to 30 years!,-0.11746053397655487,42
156493,do goldfish grow,6139382_0,"Common goldfish, comet goldfish, and other single tail goldfish need ponds or huge tanks as they can grow up to a foot or more in length.",-0.1179351881146431,43
156493,do goldfish grow,1277727_0,Common Goldfish can grow over 90 centimeters and take more than 2 years to max out.,-0.13607144355773926,44
156493,do goldfish grow,2259183_0,A large tank gives your goldfish plenty of room to grow to their full potential.,-0.14135049283504486,45
156493,do goldfish grow,3288598_1,As mentioned above these factors will influence the growth potential of your goldfish.,-0.1438700258731842,46
156493,do goldfish grow,3288597_2,If you want your goldfish to grow fast consider feeding them a wide variety of food.,-0.14824865758419037,47
156493,do goldfish grow,2612492_2,As mentioned above these factors will influence the growth potential of your goldfish.,-0.15068864822387695,48
156493,do goldfish grow,8182161_1,"Goldfish occur in a number of different varieties, and some grow larger than others.",-0.1559642255306244,49
156493,do goldfish grow,2612490_0,"So to really answer the question, “How Fast Do Goldfish Grow” really has too many factors to really answer.",-0.17189593613147736,50
156493,do goldfish grow,3288596_2,"The more room you can give your goldfish, the faster it will grow.",-0.1997031569480896,51
156493,do goldfish grow,1277725_0,"Fancy Goldfish (Ryukins, orandas, fan tail, bubble eyes) - Grow about 6 inches.",-0.21443042159080505,52
156493,do goldfish grow,1277723_0,Fancy goldfish don’t grow as large as Common goldfish.,-0.22642624378204346,53
