qid,query,docno,text,score,rank
1030303,who is aziz hashim,8726432_1,"Azim Hashim Premji (born 24 July 1945) is an Indian business tycoon, investor, and philanthropist. who is the chairman of Wipro Limited.",-0.0013943722005933523,0
1030303,who is aziz hashim,8726437_0,Aziz Hashim is one of the world’s leading experts on franchising and a highly regarded executive in the U.S. and international franchise space.,-0.002281088614836335,1
1030303,who is aziz hashim,8726435_0,"Mr. Aziz Hashim has been the President and Secretary of Frisch's Restaurants, Inc. since August 24, 2015.",-0.010916748084127903,2
1030303,who is aziz hashim,8726436_1,1 Public Profile Aziz Hashim Managing Partner at NRD Capital.,-0.012646243907511234,3
1030303,who is aziz hashim,8726435_1,"Mr. Hashim is the Founder and Managing Partner at NRD Capital Management, LLC.",-0.013275682926177979,4
1030303,who is aziz hashim,7156982_0,"Rounding out the IFA leadership team is Aziz Hashim, a multi-unit, multi-brand franchisee and president & CEO of NRD Holdings, LLC, as vice chair; Shelly Sun, CFE, CEO & co-founder of BrightStar Franchising, LLC, as treasurer; and Liam Brown, president of U.",-0.019522778689861298,5
1030303,who is aziz hashim,1305520_0,"Hashim (Arabic: هاشم ‎) is a common male Arabic given name, which signifies breaker of bread.The title Hashim was given to 'Amr al-ʻUlā ibn 'Abd Manaf, as he was generous in providing bread to poor people and travellers.This Hashim was the great-grandfather of the Islamic prophet Muhammad and the progenitor of the Banu Hashim clan of the distinguished Quraish tribe in Mecca.",-0.028177538886666298,6
1030303,who is aziz hashim,8726433_0,Romaniello calls Hashim a “terrific” leader at the IFA: “Aziz is very smart.,-0.05369607359170914,7
1030303,who is aziz hashim,3302258_0,"Hazrat Umar bin Abdul Aziz, surnamed Al-Khalifat-us-Saleh (The pious Caliph) was the son of Abdul Aziz, the Governor of Egypt, and his mother, Umm-i-Aasim was the grand daughter of the Caliph Umar.",-0.06569048017263412,8
1030303,who is aziz hashim,8726436_2,2 Public Profile Hazizul Aziz Mohamad Hashim Project Accountant/ Cost control.,-0.07208403199911118,9
1030303,who is aziz hashim,6271629_0,"Hashim (Arabic: هاشم ‎) is a common male Arabic given name, which signifies breaker of bread.The title Hashim was given to 'Amr al-ʻUlā ibn 'Abd Manaf, as he was generous in providing bread to poor people and travellers.ashim (Arabic: هاشم ‎) is a common male Arabic given name, which signifies breaker of bread.",-0.07582353055477142,10
1030303,who is aziz hashim,3327029_1,Al-Hakim was the second of the Fatimid caliphs to begin his reign in Egypt; al-Aziz was the first of the Fatimid caliphs to do so.,-0.07725895196199417,11
1030303,who is aziz hashim,4130105_1,"Hashim Nzinga, the chairman of the New Black Panther Party for Self-Defense, which is headquartered in Atlanta and claims 38 chapters worldwide, also condemned the Dallas killings.",-0.08298921585083008,12
1030303,who is aziz hashim,6939422_2,"In Islamic tradition العزيز (al-'Aziz) is one of the 99 names of Allah.A notable bearer of the name was Al-'Aziz, a 10th-century Fatimid caliph.eaning & History.",-0.24950793385505676,13
1030303,who is aziz hashim,8726436_4,Public Profile syed aziz syed hashim --.,-0.27504974603652954,14
1030303,who is aziz hashim,336399_1,"2 Hashim Amla, a South African cricketer of Indian descent.",-0.287911057472229,15
1030303,who is aziz hashim,8726430_0,Aziz Hashim believes he knows what franchisors need to attract multi-unit operators like himself.,-0.3168830871582031,16
1030303,who is aziz hashim,336399_3,"2 Hashim Amla, a South African cricketer of Indian descent.",-0.33099234104156494,17
1030303,who is aziz hashim,6939422_4,In Islamic tradition العزيز (al-'Aziz) is one of the 99 names of Allah.,-0.48075324296951294,18
1030303,who is aziz hashim,6939430_0,"Al-Aziz is one of the names of God in Islam, and the word is also used in reference to the king of Egypt (pharaoh) in the quranic Surah-e-Yusuf.",-0.5192341208457947,19
1030303,who is aziz hashim,8726434_0,"The owner of 10 Rallys burger franchises in Los Angeles, Aziz Hashim, says… (Jay L. Clendenin, Los Angeles…) Fast-food chain Popeyes Louisiana Kitchen has 75 restaurants in Los Angeles, Orange and Riverside counties, and it plans to open 24 more despite the lagging economy.",-0.5210686922073364,20
